"name";"onsCode";"nomiscode";"nomisoacodes"
"Broxtowe";"E07000172";1946157164;"1254236088...1254236444;1254265243...1254265256"
"Gedling";"E07000173";1946157165;"1254236445...1254236826;1254258364...1254258364;1254265076...1254265078"
"Mansfield";"E07000174";1946157166;"1254236827...1254237150;1254265079...1254265102"
"Newark and Sherwood";"E07000175";1946157167;"1254237151...1254237508;1254265103...1254265128"
"Rushcliffe";"E07000176";1946157168;"1254237509...1254237856;1254265257...1254265271"
"Herefordshire; County of";"E06000019";1946157169;"1254165297...1254165914;1254260741...1254260762"
"Shropshire";"E06000051";1946157170;"1254239773...1254240727;1254266100...1254266128"
"Stoke-on-Trent";"E06000021";1946157171;"1254166414...1254167215;1254263566...1254263614"
"Telford and Wrekin";"E06000020";1946157172;"1254165915...1254166413;1254264820...1254264848;1254265329"
"Cannock Chase";"E07000192";1946157173;"1254242436...1254242725;1254263388...1254263404;1254265887...1254265888"
"East Staffordshire";"E07000193";1946157174;"1254242726...1254243063;1254260586...1254260608"
"Lichfield";"E07000194";1946157175;"1254243064...1254243362;1254260609...1254260634"
"Newcastle-under-Lyme";"E07000195";1946157176;"1254243363...1254243762;1254264215...1254264229"
"South Staffordshire";"E07000196";1946157177;"1254243763...1254244105;1254263556...1254263565"
"Stafford";"E07000197";1946157178;"1254244106...1254244499;1254258717...1254258742;1254260735...1254260740"
"Staffordshire Moorlands";"E07000198";1946157179;"1254244500...1254244811;1254264206...1254264214"
"Tamworth";"E07000199";1946157180;"1254244812...1254245043;1254260635...1254260651"
"North Warwickshire";"E07000218";1946157181;"1254250750...1254250956;1254260517...1254260519"
"Nuneaton and Bedworth";"E07000219";1946157182;"1254250957...1254251336;1254258328...1254258328;1254260520...1254260544"
"Rugby";"E07000220";1946157183;"1254251337...1254251621;1254260545...1254260585"
"Stratford-on-Avon";"E07000221";1946157184;"1254251622...1254252010;1254264144...1254264170"
"Warwick";"E07000222";1946157185;"1254252011...1254252435;1254264171...1254264205"
"Birmingham";"E08000025";1946157186;"1254140577...1254143599;1254258329...1254258329;1254258331...1254258331;1254267100...1254267297"
"Coventry";"E08000026";1946157187;"1254143600...1254144538;1254258259...1254258265;1254258327...1254258327;1254264016...1254264082"
"Dudley";"E08000027";1946157188;"1254144539...1254145529;1254263322...1254263338"
"Sandwell";"E08000028";1946157189;"1254145530...1254146431;1254258332...1254258332;1254260440...1254260478"
"Solihull";"E08000029";1946157190;"1254146432...1254147072;1254258330...1254258330;1254260395...1254260419"
"Walsall";"E08000030";1946157191;"1254147073...1254147863;1254260479...1254260516"
"Wolverhampton";"E08000031";1946157192;"1254147864...1254148628;1254259631...1254259650"
"Bromsgrove";"E07000234";1946157193;"1254256397...1254256674;1254264083...1254264101"
"Malvern Hills";"E07000235";1946157194;"1254256675...1254256922;1254264122...1254264125"
"Redditch";"E07000236";1946157195;"1254256923...1254257172;1254263526...1254263538"
"Worcester";"E07000237";1946157196;"1254257173...1254257480;1254264126...1254264143"
"Wychavon";"E07000238";1946157197;"1254257481...1254257869;1254263539...1254263547"
